/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode  110 | Reward:    5.960 | RPS:  0.119 | Eps: 0.8377 | Steps: 50
Episode  111 | Reward:    4.956 | RPS:  0.099 | Eps: 0.8352 | Steps: 50
Episode  112 | Reward:    2.906 | RPS:  0.058 | Eps: 0.8335 | Steps: 50
Episode  113 | Reward:    7.662 | RPS:  0.153 | Eps: 0.8310 | Steps: 50
Episode  114 | Reward:    3.584 | RPS:  0.072 | Eps: 0.8294 | Steps: 50
Episode  115 | Reward:    6.217 | RPS:  0.124 | Eps: 0.8269 | Steps: 50
Episode  116 | Reward:    3.420 | RPS:  0.068 | Eps: 0.8252 | Steps: 50
Episode  117 | Reward:    4.815 | RPS:  0.096 | Eps: 0.8228 | Steps: 50
Episode  118 | Reward:    9.274 | RPS:  0.185 | Eps: 0.8211 | Steps: 50
Episode  119 | Reward:    3.297 | RPS:  0.066 | Eps: 0.8186 | Steps: 50
Episode  120 | Reward:    4.078 | RPS:  0.082 | Eps: 0.8170 | Steps: 50
Episode  121 | Reward:   10.412 | RPS:  0.208 | Eps: 0.8146 | Steps: 50
Episode  122 | Reward:    5.488 | RPS:  0.110 | Eps: 0.8129 | Steps: 50
Episode  123 | Reward:   10.837 | RPS:  0.217 | Eps: 0.8105 | Steps: 50
Episode  124 | Reward:    6.714 | RPS:  0.134 | Eps: 0.8089 | Steps: 50
Episode  125 | Reward:    7.731 | RPS:  0.155 | Eps: 0.8065 | Steps: 50
Episode  126 | Reward:    5.008 | RPS:  0.100 | Eps: 0.8048 | Steps: 50
Episode  127 | Reward:    4.490 | RPS:  0.090 | Eps: 0.8024 | Steps: 50
Episode  128 | Reward:    3.610 | RPS:  0.072 | Eps: 0.8008 | Steps: 50
Episode  129 | Reward:    5.944 | RPS:  0.119 | Eps: 0.7984 | Steps: 50
Episode  130 | Reward:    9.914 | RPS:  0.198 | Eps: 0.7968 | Steps: 50
Episode  131 | Reward:    6.378 | RPS:  0.128 | Eps: 0.7944 | Steps: 50
Episode  132 | Reward:    3.453 | RPS:  0.069 | Eps: 0.7929 | Steps: 50
Episode  133 | Reward:    7.010 | RPS:  0.140 | Eps: 0.7905 | Steps: 50
